Employee ID,Gender,Job Level after FY20 promotions,New hire FY20?,FY20 Performance Rating,Promotion in FY21?,In base group for Promotion FY21,Target hire balance,FY20 leaver?,In base group for turnover FY20,Department @01.07.2020,Leaver FY,Job Level after FY21 promotions,Last Department in FY20,FTE group,Time type,Department & JL group PRA status,Department & JL group for PRA,Job Level group PRA status,Job Level group for PRA,Time in Job Level @01.07.2020,Job Level before FY20 promotions,Promotion in FY20?,FY19 Performance Rating,Age group,Age @01.07.2020,Nationality 1,Region group: nationality 1,Broad region group: nationality 1,Last hire date,Years since last hire,Rand
1,Male,6 - Junior Officer,N,2,No,No,0.50,Yes,Y,Operations,FY20,LEFT,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,30 to 39,37,Spain,Europe,Europe,4/1/2017,3,0.684581176
2,Female,4 - Manager,N,3,No,Yes,0.50,No,Y,Sales & Marketing,Stay,4 - Manager,Sales & Marketing,100%,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,3,4 - Manager,N,0,30 to 39,37,Germany,Europe,Europe,4/1/2017,3,0.768365505
3,Male,2 - Director,N,2,No,Yes,0.50,No,Y,Strategy,Stay,2 - Director,Strategy,100%,Full Time,Inconclusive,2 - Director & Strategy,Uneven - Men benefit,2 - Director,3,2 - Director,N,3,30 to 39,35,Switzerland,Switzerland,Switzerland,4/1/2015,5,0.82457113
4,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,HR,Stay,4 - Manager,HR,100%,Full Time,Inconclusive,4 - Manager & HR,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,32,Germany,Europe,Europe,4/1/2012,8,0.817026377
5,Female,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,28,Switzerland,Switzerland,Switzerland,4/1/2019,1,0.991944688
6,Female,4 - Manager,Y,0,No,No,0.50,No,N,Internal Services,Stay,4 - Manager,Internal Services,100%,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,0,NA,N,0,40 to 49,42,Italy,Europe,Europe,4/1/2020,0,0.92383235
7,Male,3 - Senior Manager,Y,0,No,No,0.50,No,N,Operations,Stay,3 - Senior Manager,Operations,100%,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,0,NA,N,0,30 to 39,35,Italy,Europe,Europe,4/1/2020,0,0.007766551
8,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,HR,Stay,5 - Senior Officer,HR,100%,Full Time,Inconclusive,5 - Senior Officer & HR,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,30 to 39,34,Switzerland,Switzerland,Switzerland,4/1/2013,7,0.578187569
9,Female,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Sales & Marketing,Stay,6 - Junior Officer,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,26,United States,Americas,Elsewhere,4/1/2019,1,0.780882961
10,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Internal Services,Stay,6 - Junior Officer,Internal Services,100%,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,24,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.957555258
11,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Operations,Stay,4 - Manager,Operations,100%,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,2,4 - Manager,N,2,30 to 39,34,Switzerland,Switzerland,Switzerland,4/1/2011,9,0.96081504
12,Female,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Strategy,Stay,5 - Senior Officer,Strategy,100%,Full Time,Inconclusive,6 - Junior Officer & Strategy,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,30 to 39,34,France,Europe,Europe,4/1/2017,3,0.60604628
13,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,5 - Senior Officer,Operations,100%,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,20 to 29,29,Germany,Europe,Europe,4/1/2015,5,0.155013151
14,Male,6 - Junior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,20,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.561601067
15,Male,6 - Junior Officer,N,3,No,No,0.50,Yes,Y,Internal Services,FY20,LEFT,Internal Services,100%,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,28,France,Europe,Europe,4/1/2019,1,0.549796587
16,Male,4 - Manager,N,3,No,Yes,0.50,No,Y,Strategy,Stay,4 - Manager,Strategy,100%,Full Time,Inconclusive,4 - Manager & Strategy,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,34,Germany,Europe,Europe,4/1/2015,5,0.266906639
17,Male,6 - Junior Officer,N,3,No,Yes,0.50,No,Y,Operations,Stay,6 - Junior Officer,Operations,100%,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,4,20 to 29,24,Switzerland,Switzerland,Switzerland,4/1/2018,2,0.363141089
18,Female,6 - Junior Officer,N,2,Yes,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,80%,Part Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,4,6 - Junior Officer,N,3,30 to 39,32,Italy,Europe,Europe,4/1/2016,4,0.007312184
19,Male,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Sales & Marketing,Stay,5 - Senior Officer,Sales & Marketing,100%,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,0,30 to 39,30,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.384061329
20,Female,5 - Senior Officer,N,2,No,Yes,0.50,No,Y,Operations,Stay,5 - Senior Officer,Operations,100%,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,30 to 39,32,Germany,Europe,Europe,4/1/2012,8,0.541917113
21,Male,3 - Senior Manager,N,3,No,No,0.50,Yes,Y,Strategy,FY20,LEFT,Strategy,100%,Full Time,Inconclusive,3 - Senior Manager & Strategy,Uneven - Men benefit,3 - Senior Manager,7,3 - Senior Manager,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,4/1/2013,7,0.822155233
22,Male,6 - Junior Officer,N,3,No,No,0.50,Yes,Y,Sales & Marketing,FY20,LEFT,Sales & Marketing,100%,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,26,Switzerland,Switzerland,Switzerland,4/1/2017,3,0.589397191
